clinical_trial	gender	ethnicity	brief_title	initial_data_release_version_number	program_name	latest_data_release_version	arm_name	lab_test_panel_count	assay_method_count	clinicaltrials_link	pubmed_id	age_range	planned_visit_total_count	arm_accession	minimum_age	has_lab_test	latest_data_release_date	gender_included	analyte_preferred_count	maximum_age	research_focus	contract_grant_external_id	latest_data_release_version_number	race	actual_enrollment	initial_data_release_date	brief_description	biosample_type	shared_subject_count	max_age	study_accession	contract_grant_name	study_pi	species	initial_data_release_version	condition_or_disease	has_assessment	assessment_panel_count	age_unit	assay_method	min_age	doi
Y	Male;Female;Not Specified	Hispanic or Latino;Other;Not Hispanic or Latino;Not Specified	Monozygotic and Dizygotic Twin Pair T-Cell Responses to Influenza Vaccination SLVP018 2010	13.0	Human Immunology Project Consortium (HIPC) RFA-AI-14-007, RFA-AI-09-040	DR50.2	SLVP018_2010D;SLVP018_2010E;SLVP018_2010C;control samples;SLVP018_2010B;SLVP018_2010A;SLVP018_2010F	Immunology Test (80)	CyTOF (88);Flow Cytometry (400);Hemagglutination Inhibition (156);Luminex xMAP (523);Meso Scale Discovery ECL (262)	https://clinicaltrials.gov/ct2/show/NCT03022396	25594173;31636302	11.53-82.27	4	ARM2605;ARM2604;ARM2600;ARM2603;ARM2602;ARM2610;ARM2601	8	Y	2024-02-29	Female, Male, Not Specified	CCR7 (176);CD127 (176);CD14 (264);CD16 (176);CD161 (176);CD19 (88);CD20 (576);CD24 (176);CD27 (176);CD28 (176);CD3 (576);CD38 (176);CD4 (576);CD45RA (576);CD56 (176);CD8 (176);CD85J (176);CD94 (176);HLADR (176);IgD (176);IL2RA (176);SIGLEC-3 (576)	100	Vaccine Response	AI090019	50.2	Other;Black or African American;White;Asian;American Indian or Alaska Native;Not Specified	84	2015-03-31	Evaluate the variation in immune response between individuals and assess whether it changes as a function of age and similarity in genetic and environmental background (by comparing differences between monozygotic and dizygotic twin pairs of different ages).	Serum;PBMC;Plasma	SDY675 (10);SDY311 (1);SDY315 (1);SDY112 (1);SDY113 (1);SDY314 (1);SDY305 (1);SDY472 (1);SDY478 (1);SDY519 (1);SDY1464 (1);SDY1465 (1);SDY1466 (1);SDY1482 (1);SDY1483 (1);SDY1471 (1);SDY1469 (1);SDY1479 (1);SDY1480 (1);SDY1481 (1);SDY1484 (1);SDY406 (1);SDY1472 (1);SDY2471 (1);SDY2497 (1)	82.27	SDY515	Vaccination and infection: indicators of immunological health and responsiveness	Mark Davis: Stanford University	Homo sapiens	DR13	influenza;Aging	N		Years	CyTOF;Flow Cytometry;Luminex xMAP;Hemagglutination Inhibition;Meso Scale Discovery ECL	11.53	10.21430/M3RDGZH60O
N	Female;Male	Hispanic or Latino;Not Hispanic or Latino	Immune Profiles to Predict Response to Desensitization Therapy in Highly HLA-Sensitized Kidney Transplant Candidates	19.0	Mentored Patient-Oriented Research Career Development Award (Parent K23)	DR24	control;Non-responder;Responder		CyTOF (141);Flow Cytometry (360);Transcription profiling by array (39)		27078882	25.0-66.0	8	ARM3146;ARM3147;ARM3148	  25.00	N	2017-11-07	Female, Male	CCR7 (282);CD127 (282);CD14 (282);CD16 (282);CD161 (282);CD19 (282);CD20 (282);CD24 (282);CD27 (282);CD28 (282);CD3 (282);CD38 (282);CD4 (282);CD45RA (282);CD56 (282);CD8 (282);CD85J (282);CD94 (282);HLADR (282);IFNA (45);IFNG (45);IgD (282);IL10 (45);IL2 (45);IL21 (45);IL2RA (282);IL6 (45);IL7 (45);SIGLEC-3 (282)	  66.00	Transplantation	AI104401	24.0	Black or African American;White;Asian;Native Hawaiian or Other Pacific Islander;American Indian or Alaska Native	22	2016-06-17	Immune profiles were performed retrospectively in highly sensitized kidney transplant candidates	PBMC;Whole blood		66.0	SDY788	Improving Kidney Transplant Outcomes By Using Novel B-cell Immune Profiling	Julie Yabu: Stanford University	Homo sapiens	DR19	Kidney Transplantation	N		Years	Flow Cytometry;CyTOF;Transcription profiling by array	25.0	10.21430/M3R0UUBC6K
N	Female;Male	Not Hispanic or Latino	Responses to Influenza Vaccination in Systemic Lupus Year 5 2009-2010	2.0	Immune Function and Biodefense in Children, Elderly, and Immunocompromised Populations	DR52.1	Healthy control subjects;SLE case subjects	Immunology Test (1656)	ELISA (134);ELISPOT (280);Flow Cytometry (635);Hemagglutination Inhibition (207)		21598235	16.0-73.0	4	ARM851;ARM852	  16.00	Y	2024-07-25	Female, Male		  73.00	Vaccine Response	AI050026	52.1	White;Other;Asian;Black or African American	73	2013-06-12	Compare the major components of the normal immune response to flu vaccination in SLE patients and control subjects in order to identify abnormalities in SLE group of immunocompromised individuals.	PBMC;Other;Serum;Not Specified	SDY197 (13);SDY198 (16);SDY196 (12);SDY201 (24);SDY199 (27)	73.0	SDY200	Responses to Influenza Vaccination in Systemic Lupus	Linda Thompson: Oklahoma Medical Research Foundation (OMRF)	Homo sapiens	DR2	influenza;systemic lupus erythematosus	Y	Medical History (1960)	Years	ELISA;Hemagglutination Inhibition;Flow Cytometry;ELISPOT	16.0	10.21430/M3ZR6IH181
N			SARS-CoV-2 Spreads through Cell-to-Cell Transmission	42.0	SeroNet	DR52.1	NCI-H520 cell line;SARS-CoV-2 experimental group II, Cell to cell transmission;293T Cell lines;Vero E6 cell lines;Calu-3 cell lines;Caco-2 cell lines;SARS-CoV-2 experimental group I, Cell free transmission;SARS-CoV experimental group		Flow Cytometry (0);PCR (0);Pseudovirus Neutralization Assay (0);Virus Plaque Assay (0);Western Blot (0)		34937699	0.0-89.0	3	ARM6426;ARM6119;ARM6423;ARM6427;ARM6425;ARM6118;ARM6117;ARM6424	    .00	N	2024-07-25	Not Specified		  89.00	Molecular Biology	U54CA260582	52.1		8	2022-01-24	To evaluate cell-to-cell transmission of SARSCoV-2 in the context of cell-free infection and in comparison, with SARS-CoV.			89.0	SDY1890	Center for Serological Testing to Improve Outcomes from Pandemic COVID-19 (STOP-COVID)	Eugene Oltz: Ohio State University;Shan-Lu Liu: Ohio State University;Linda Saif: Ohio State University		DR42	COVID-19	N		Years	Western Blot;Pseudovirus Neutralization Assay;PCR;Flow Cytometry;Virus Plaque Assay	0.0	10.21430/M3GSKYH5JH
N			COVID-19 vaccination induces distinct T-cell responses in pediatric solid organ transplant recipients and immunocompetent children	54.1	SeroNet	DR54.1	Pediatric Healthy controls;Adult SOTR group;Pediatric bivalent mRNA vaccine recipient group.;Pediatric monovalent mRNA vaccine recipient group.		Chemiluminescent Assay (0);Flow Cytometry (0);Multiplex Immunoassay (0)		38580714	10.0-68.0	4	ARM10794;ARM10797;ARM10796;ARM10795	10	N	2025-01-30			68	Vaccine Response	U54CA260492	54.1			2025-01-30	To investigate whether the COVID-19 mRNA vaccine responses are limited in pediatric SOTRs (pSOTRs) compared to immunocompetent children.			68.0	SDY2923	Johns Hopkins Excellence in Pathogenesis and Immunity Center for SARS-CoV-2 (JH-EPICS)	Andrew Karaba: Johns Hopkins University;Andrea Cox: Johns Hopkins University;Elizabeth Thompson: Johns Hopkins University		DR54.1	Solid Organ Transplant Recipient;COVID-19	N		Years	Flow Cytometry;Multiplex Immunoassay;Chemiluminescent Assay	10.0	10.21430/M3AXDHDC1C
Y	Male;Female	Hispanic or Latino;Other;Not Hispanic or Latino	Rituximab for the Treatment of Wegener's Granulomatosis and Microscopic Polyangiitis (RAVE ITN021AI)	1.0	ITN: Collaborative Network for Clinical Research on Immune Tolerance Network	DR52.1	Experimental:  Rituximab;Active Comparator: Cyclophophamide	Chemistry Test (16835);Blood Cell Count (17419);Renal Function Test (1319)	ELISA (1175);Flow Cytometry (1151)	http://clinicaltrials.gov/ct2/show/NCT00104299	20647199;21953143;22279570;23902481;25999375;26387933;TBD_A	15.0-90.0	43	ARM568;ARM569	  15.00	Y	2024-07-25	Female, Male		  90.00	Autoimmune	AI15416	52.1	White;Other;Asian;Black or African American	197	2013-04-05	Antineutrophil cytoplasmic antibodies (ANCA)-associated vasculitis is the most common type of small blood vessel inflammation in adults. ANCA-associated vasculitis includes Wegener's granulomatosis (WG) and microscopic polyangiitis (MPA). Rituximab is a man-made antibody used to treat certain types of cancer. The purpose of this study is to determine the effectiveness of rituximab in treating patients with WG and MPA	Urine;Not Specified;Whole blood		90.0	SDY91	Rituximab for the Treatment of Wegener's Granulomatosis and Microscopic Polyangiitis (RAVE), Immune Tolerance Network	Ulrich Specks: Mayo Clinic;John H. Stone: Johns Hopkins University	Homo sapiens	DR1	granulomatosis with polyangiitis	Y	Vasculitis Damage Index (1899);Baseline Height (cm) (197);SF-36 (45580);Baseline Weight (kg) (197);Remission (12524);BVAS/WG (8395);Flares (4909);Prednisone Taper (962);Assignment (331);Diagnosis (197)	Years	ELISA;Flow Cytometry	15.0	10.21430/M3TK42R0QR
N			Metformin inhibition of mitochondrial ATP and DNA synthesis abrogates NLRP3 inflammasome activation and pulmonary inflammation	51.1	SeroNet	DR51.1	SARS-CoV-2 infected hACE2 mice;Deceased patients with PCR confirmed SARS-CoV-2;Mock infected hACE2 mice;Healthy donors;Macrophage culture;Alum-induced peritonitis;Patients deceased due to non-pulmonary-related causes;LPS-induced ARDS mice;Myeloid specific Cmpk2 deficient (Cmpk2ΔMye) mice		Chemiluminescent Assay (0);ELISA (0);Flow Cytometry (0);Fluorescent Antibody Procedure (0);Histopathology (0);Liquid Chromatography (0);Microscopy (0);PCR (0);Western Blot (0)		34115964	0.0-89.0	6	ARM9040;ARM9041;ARM9048;ARM9045;ARM9042;ARM9047;ARM9043;ARM9046;ARM9044	0	N	2024-04-25			89	Molecular Biology	U54CA260591	51.1			2024-04-25	To examine whether and how metformin inhibits inflammasome activation while exerting its anti-inflammatory effect.			89.0	SDY2604	Diversity and Determinants of the Immune-Inflammatory Response to SARS-CoV-2	Michael Karin: University of California San Diego		DR51.1	COVID-19	N		Years	Liquid Chromatography;Western Blot;Microscopy;ELISA;Flow Cytometry;Histopathology;PCR;Fluorescent Antibody Procedure;Chemiluminescent Assay	0.0	10.21430/M3UJYDAKKX
N			CD8+ T cells protect against CVB3 infection in females.	49.0	Other Programs;NIH Program	DR49.1	Infected Male C57BL/6 Ifnar-/-;Uninfected Male C57BL/6 IFNAR-/-;Infected Female C57BL/6 IFNAR-/-;Uninfected Female C57BL/6 IFNAR-/-		Flow Cytometry (0)		37669302		1	ARM7407;ARM7406;ARM7405;ARM7404	10 week old mice	N	2023-09-28			15 week old mice	Immune Response	R03 DK124749;5K01DK110216;Indiana CTSI	49.1			2023-08-25	Coxsackievirus B3 (CVB3) is the primary cause of viral myocarditis, and approximately 5% of symptomatic CVB3 infections are fatal. CVB3 infection also exhibits a strong sex bias, with males showing increased susceptibility to disease, which is incompletely understood. Despite these burdens, there are no vaccines or treatments available for Coxsackievirus infections. Using an oral inoculation mouse model to recapitulate natural infection, we demonstrated a sex bias where male mice succumb to CVB3-induced disease at an increased rate than female mice, consistent with human infections. Here we make the novel observation that CVB3 induces the expansion of antigen-experienced CD8+ T cells in female mice but not in male mice. The CD8+ T cells in female mice have an activated phenotype following infection, and we demonstrate that these T cells protect female mice from CVB3-induced mortality. Overall, our findings emphasize the importance of evaluating sex differences in the immune response to viral pathogens and may have implications for future T cell vaccine strategies.				SDY2279	Contribution of host genetic factors to intestinal Coxsackievirus replication;Sex-dependent replication of coxsackievirus;Biomedical Research Grant from the Indiana Clinical and Translational Sciences Institute	Adeeba Dhalech: Indiana University School of Medicine;Chris Robinson: Indiana University School of Medicine		DR49		N		Weeks	Flow Cytometry		10.21430/M3NKQRGD8N
N	Not Specified	Not Specified	Analysis of STAT mediated dendritic cell activation mechanisms with different stimuli.	23.0	Modeling Immunity for Biodefense I	DR23	Healthy subjects		Flow Cytometry (46)				1	ARM398		N	2017-09-29	Not Specified	CD45RO (46);IL10 (46);IL6 (46)		Immune Response	HHSN266200500021C	23.0	Not Specified	2	2017-09-29	In vitro analysis of STAT mediated dendritic cell activation mechanisms.	Dendritic cell;Monocyte			SDY49	Modeling Viral Immunity and Antagonism	David Braun: Mount Sinai School of Medicine	Homo sapiens	DR23		N		Years	Flow Cytometry		10.21430/M3S5MWVVTL
N	Male;Female		Predictive computational modeling of the mucosal immune responses during Helicobacter pylori infection	5.0	Modeling Immunity for Biodefense II	DR52.1	Unknown;Control;Case		Flow Cytometry (58);Other (10)		24039925;26327290	0.24-0.24	4	ARM949;ARM951;ARM950	  86.00	N	2024-07-25	Not Specified		  86.00	Immune Response	HHSN272201000056C	52.1		53	2013-11-01	We developed a validated mathematical and computation model of immune responses to H. pylori infection that delineate how immune responses to H. pylori correlate with initiation, progression and outcome of disease.	Other;Spleen;Stomach		0.24	SDY230	Virginia Bioinformatics Institute Modeling Immunity for Biodefense Contract	Raquel Hontecillas: NIMML;Josep Bassaganya-Riera: NIMML	Mus musculus	DR5	Helicobacter Pylori Infection	N		Days	Other;Flow Cytometry	0.24	10.21430/M37ANCFRHF
Y	Female;Male	Not Hispanic or Latino	Risk Factors in Atopic Dermatitis for the Development of Eczema Herpeticum (ADEH 06)	1.0	Atopic Dermatitis & Vaccinia Network (ADVN)	DR52.1	AD+ Acute EH+HSV+;Healthy controls;AD+ EH- HSV+;AD+ with history of EH+ HSV+;AD+ EH- HSV-	Lab Test for Blood Samples (497);CBC_Results (5875);Diagnostic laboratory data (6090)	Flow Cytometry (3500)	http://clinicaltrials.gov/ct2/show/study/NCT00438022	21255038	18.0-60.0	4	ARM243;ARM242;ARM244;ARM245;ARM241	  18.00	Y	2024-07-25	Female, Male	B7 (155);B7-2 (155);CD111 (52);CD112 (181);CD14 (314);CD155 (52);CD1a (3090);CD23 (155);CD282 (112);CD284 (112);CD40 (155);CD44 (79);CD62L (155);CD74 (181);CD83 (155);CLA, CD162 (155);CXCR2 (79);DC-SIGN1 (155)	  60.00	Atopy/Allergy	AI000029	52.1	White	235	2012-11-16	Atopic Dermatitis (AD), also known as eczema, is a skin disease that causes the skin to be hot, dry and scaly, and have severe itching. There are different kinds of eczema. Eczema herpeticum (EH) is a type of eczema that spreads due to an underlying herpes virus infection. The purpose of this research study is to identify the risk factors that may cause EH.	Skin of body;Serum;Other;Plasma		60.0	SDY4	Atopic Dermatitis and Vaccinia Network (ADVN) Clinical Studies Consort-26629c	Thomas Bieber: The University of Bonn, Germany;Natalija Novak: The University of Bonn, Germany	Homo sapiens	DR1	atopic dermatitis;eczema herpeticum	Y	AD Assessment (1392);Any Adverse Event? (235);Question about medications taken (235);Onset of AD and evolution (522);Clinical variant of AD (174);EASI Score (3700);Eczema herpeticum evaluation (861);Family History (5640);Medical History (3055);Physical Exam (4231);Rajka-Langeland Score (740);Severity Scoring of Atopic Dermatitis (11)	Years	Flow Cytometry	18.0	10.21430/M398H5TAXP
N	Female;Male	Hispanic or Latino;Other;Not Hispanic or Latino	Immune response evaluation in patients treated with TNF-alpha blockade (anti-TNF)	2.0	Immune Function and Biodefense in Children, Elderly, and Immunocompromised Populations	DR2	PsA Switch;RA anti-TNF;RA Switch;RA Untreated;PsA anti-TNF;PsA MTX;RA MTX;RA MTX and anti-TNF;PsA MTX and anti-TNF;Healthy		Flow Cytometry (2003)		20298818;22177419	0.0-82.0	6	ARM701;ARM696;ARM698;ARM704;ARM697;ARM702;ARM695;ARM699;ARM703;ARM700	18	N	2013-06-12	Female, Male, Unknown	B7-2 (51);BDCA1 (1548);BDCA3 (51);CD10 (1497);CD11c (51);CD14 (51);CD16 (51);CD19 (1548);CD20 (1497);CD24 (1497);CD27 (1497);CD3 (1548);CD34 (51);CD38 (1497);CD4 (51);CD40 (51);HLADR (51);IgM (1497)	53	Immune Response	AI050029	2.0	Unknown;Black or African American;White;Asian;American Indian or Alaska Native	344	2013-06-12	A systematic study of human immune function with the goal of identifying defective mechanisms of immune response in patients treated with TNF-alpha blockade (anti-TNF)	Other		82.0	SDY146	Function and Biodefense in patients with TNF-a Blockade	Ignacio Sanz: University of Rochester Medical Center;Jennifer Anolik: University of Rochester Medical Center;Laura Milner: University of Rochester Medical Center;Christopher Ritchlin: University of Rochester Medical Center	Homo sapiens	DR2	influenza;psoriatic arthritis;rheumatoid arthritis	N		Years	Flow Cytometry	0.0	10.21430/M3QXQFGTK5
N			SARS-CoV-2 vaccines elicit durable immune responses in infant rhesus macaques	48.0	SeroNet	DR48	Protein+3M052-SE vaccine group macaques;mRNA-LNP vaccine group macaques		ELISA (0);ELISPOT (0);Flow Cytometry (0);Multiplex Bead Array Assay (0);Multiplex Immunoassay (0);Neutralizing Antibody Titer Assay (0);Pseudovirus Neutralization Assay (0)		34131024	0.0-89.0	7	ARM7310;ARM7311	0	N	2023-05-31			89	Vaccine Response	U54CA260543	48.0			2023-05-31	To assess the safety and immunogenicity of two SARS-CoV-2 vaccines (mRNA-LNP and Protein+3M052-SE) in infant rhesus macaques			89.0	SDY2256	North Carolina Seronet Center for Excellence	Ralph Baric: University of North Carolina		DR48	COVID-19	N		Years	Multiplex Bead Array Assay;ELISPOT;Pseudovirus Neutralization Assay;ELISA;Neutralizing Antibody Titer Assay;Flow Cytometry;Multiplex Immunoassay	0.0	10.21430/M30RR7BFU2
N	Female;Unknown;Male	Hispanic or Latino;Not Hispanic or Latino;Not Specified	Kinetics of immunological memory to SARS-CoV-2	42.0	Cooperative Centers on Human Immunology RFA-AI-17-040	DR42	Healthy SARS-CoV-2 unexposed individuals;Convalescent SARS-CoV-2 infected individuals		ELISA (1375);Flow Cytometry (2269);Neutralizing Antibody Titer Assay (275)		33408181	18.0-90.0	2	ARM6050;ARM6051	  18.00	N	2022-01-24	Female, Male, Unknown	CCR6 (1953);CCR7 (316);CD11c (1953);CD138 (1953);CD14 (2269);CD16 (1953);CD19 (2269);CD20 (1953);CD21 (1953);CD24 (1953);CD27 (1953);CD3 (2269);CD4 (316);CD45RA (316);CD56 (1953);CD62L (2269);CD69 (316);CD71a (1953);CD8 (316);CD85J (1953);CD95 (1953);CXCR5 (1953);IgD (1953);IgG (1953);IgM (1953);TNFRSF4 (316);TNFRSF9 (316)	  90.00	Infection Response	AI142742	42.0	Unknown;Other;Black or African American;White;Asian;Native Hawaiian or Other Pacific Islander;American Indian or Alaska Native	264	2022-01-24	We assessed the kinetics and durability of SARS-CoV-2-specific antibodies, CD4+ T cells, and CD8+ T cells made in response to SARS-CoV-2 infection in a predominantly cross-sectional study extending up to eight months post-infection.	PBMC;Plasma	SDY787 (2);SDY1640 (35);SDY1667 (32);SDY2060 (4);SDY1743 (14)	90.0	SDY1870	Functional and Dysfunctional Human CD4 T cell and B cell Responses to Bacteria and Viruses (RFA-AI-17-040)	Shane Crotty: La Jolla Institute for Immunology;Alessandro Sette: La Jolla Institute for Immunology;Daniela Weiskopf: La Jolla Institute for Immunology	Homo sapiens	DR42	COVID-19	N		Years	ELISA;Neutralizing Antibody Titer Assay;Flow Cytometry	18.0	10.21430/M3S4OZJRCN
N			124I-Iodo-DPA-713 Positron Emission Tomography in a Hamster Model of SARS-CoV-2 Infection	49.1	SeroNet	DR50	Infected Golden Syrian hamsters;Healthy Golden Syrian hamsters		ELISA (0);Flow Cytometry (0);Fluorescent Antibody Procedure (0);Other (0)		34424479	0.0-89.0	3	ARM7896;ARM7895	0	N	2023-12-15			89	Immune Response	U54CA260492	50.0			2023-09-28	To evaluate the local immune response in a hamster lung model of SARS-CoV-2 infection by pulmonary Positron Emission Tomography with 124I-iodo-DPA-713.			89.0	SDY2388	Johns Hopkins Excellence in Pathogenesis and Immunity Center for SARS-CoV-2 (JH-EPICS)	Santosh Dhakal: Johns Hopkins University;Sabra Klein: Johns Hopkins University		DR49.1	COVID-19	N		Years	ELISA;Fluorescent Antibody Procedure;Flow Cytometry;Other	0.0	10.21430/M3GXF3V8PA
N	Female;Male	Hispanic or Latino;Not Hispanic or Latino	Systems Biology Approach to Analysis of 2011-12 TIV Fluzone Influenza Vaccine Response in Healthy Individuals (see companion studies SDY74, SDY301)	17.0	Human Immunology Project Consortium (HIPC) RFA-AI-14-007, RFA-AI-09-040	DR52.1	AIRFV 2011-12	Hematology test (6031)	Flow Cytometry (975);Hemagglutination Inhibition (74);Nanostring (36);Sequencing (42);Transcription profiling by array (219);Virus Neutralization (74)		23486778	21.0-58.0	8	ARM2102	  21.00	Y	2024-07-25	Female, Male		  58.00	Vaccine Response	AI089987	52.1	White;Black or African American	45	2016-02-05	This project will contribute to the overall vision and goals of this U19 by analyzing the immune response to Flu vaccination in healthy individuals. The knowledge generated in this Project will be transferred to Projects 3-5 where immune effects of vaccination will be studied in patients with underlying immune system alterations.	Serum;Other;Whole blood	SDY301 (26);SDY667 (6)	58.0	SDY296	Systems Analysis Vaccine Responses in Healthy and Hyporesponsive Humans	A. Karolina Palucka: Baylor Research Institute	Homo sapiens	DR17	influenza	Y	Vaccination History (513)	Years	Transcription profiling by array;Virus Neutralization;Sequencing;Flow Cytometry;Hemagglutination Inhibition;Nanostring	21.0	10.21430/M300RMFHZQ
N			Immunological memory to common cold coronaviruses assessed longitudinally over a three-year period pre-COVID19 pandemic	46.0	SeroNet	DR49	Donors from Bordetella Pertussis observational study		ELISA (0);Flow Cytometry (0)		35932763	18.0-36.0	2	ARM6889	  18.00	N	2023-08-25	Other		  36.00	Immune Response	U54CA260543	49.0		1	2022-12-19	To assess CCC-specific CD4+ T cell and antibody responses in pre-COVID19-pandemic samples.			36.0	SDY2127	North Carolina Seronet Center for Excellence	Daniela Weiskopf: La Jolla Institute For Immunology;Grifoni Alba: La Jolla Institute For Immunology;Lakshmanane Prem: University of North Carolina		DR46	pertussis;COVID-19	N		Years	ELISA;Flow Cytometry	18.0	10.21430/M3X6ZK6H5X
N	Female;Male		SWHP03 A novel pig model of Helicobacter pylori infection demonstrating Th1 and cytotoxic T cell responses	8.0	Modeling Immunity for Biodefense II	DR52.1	HP_SW_SS1;J99;HP_SS1;Uninfected		ELISPOT (140);Flow Cytometry (2785);Microscopy (156);Other (168);Q-PCR (234)		23897614	0.04-0.04	13	ARM1861;ARM1833;ARM1831;ARM1832	  16.00	N	2024-07-25	Female, Male		  16.00	Infection Response	HHSN272201000056C	52.1		35	2014-04-01	This time-course study assesses systemic and local immune responses in pigs challenged with a European and African strain of Helicobacter pylori. Immunophenotype and gene expression was assessed in peripheral blood mononuclear cells every week over a course of 2 months. At the end of the study animals were euthanized and local immune responses as well as histological changes and bacterial burden were assessed.	PBMC;Other;Spleen;Stomach		0.04	SDY262	Virginia Bioinformatics Institute Modeling Immunity for Biodefense Contract	Barbara kronsteiner-Dobramysl: NIMML;Casandra Philipson: NIMML;Josep Bassaganya-Riera: NIMML;Raquel Hontecillas: NIMML;Adria Carbo: NIMML;Monica Viladomiu: NIMML;Mireia Pedragosa: NIMML;Annicole Buranych: NIMML;Nicholas Kidd: NIMML;Noah Philipson: NIMML;Patrick Heizer: NIMML;Pinyi Lu: NIMML;Xiaoying Zhang: NIMML	Sus scrofa domesticus	DR8	Helicobacter Pylori Infection	N		Days	Other;ELISPOT;Microscopy;Q-PCR;Flow Cytometry	0.04	10.21430/M3BAR04LX3
N			Prime-Pull Immunization of Mice with a BcfA-Adjuvanted Vaccine Elicits Sustained Mucosal Immunity That Prevents SARS-CoV-2 Infection and Pathology	53.0	SeroNet	DR53	C57BL/6J mice;Immunized and control naive mice;IL-17 knockout mice		ELISA (0);Flow Cytometry (0);Histopathology (0);Immunohistochemistry (0);Pseudovirus Neutralization Assay (0);Virus Plaque Assay (0)		36881867	0.0-89.0	5	ARM10029;ARM10030;ARM10031	0	N	2024-09-26			89	Vaccine Response	U54CA260582	53.0			2024-09-26	To investigate whether vaccines adjuvanted with alum and BcfA, delivered through a heterologous prime-pull regimen, provide sustained protection against SARS-CoV-2 infection.			89.0	SDY2784	Center for Serological Testing to Improve Outcomes from Pandemic COVID-19 (STOP-COVID)	Jacob Yount: The Ohio State University;Shan-lu Liu: The Ohio State University		DR53	COVID-19	N		Years	Pseudovirus Neutralization Assay;ELISA;Flow Cytometry;Histopathology;Immunohistochemistry;Virus Plaque Assay	0.0	10.21430/M3LVQBHHQA
N	Female;Male;Not Specified	Hispanic or Latino;Not Hispanic or Latino;Not Specified	AMP Rheumatoid Arthritis Phase 1	24.0	Accelerating Medicines Partnership RA/SLE (AMP RA/SLE) RFA-AR-14-016	DR52.1	OA arthroplasty;RA arthroplasty;Rheumatoid arthritis synovial biopsy	Immune System Measurement (145);Blood Chemistry (38);Blood Cell Measurement (132);Metabolic Panel (28)	CyTOF (175);Flow Cytometry (309);Microscopy (421);RNA sequencing (10189)		29996944;31061532;31068444;31536480	18.0-85.0	4	ARM3569;ARM3567;ARM3568	  18.00	Y	2024-07-25	Female, Male, Not Specified	B7 (57);B7-2 (123);Bcl2 (66);BDCA1 (123);BDCA2, CD303 (57);BDCA3 (57);CCR2 (28);CCR3 (57);CCR6 (24);CCR7 (66);CD10 (90);CD11b (81);CD11c (109);CD123 (33);CD13 (24);CD138 (94);CD14 (484);CD15 (81);CD16 (175);CD170 (24);CD177 (57);CD18 (24);CD19 (460);CD1a (33);CD1d (57);CD20 (142);CD21 (66);CD23 (66);CD235a (309);CD24 (66);CD27 (375);CD278 (28);CD282 (57);CD284 (57);CD289 (66);CD3 (484);CD302 (24);CD31 (333);CD34 (337);CD38 (94);CD39 (57);CD4 (394);CD40 (66);CD45RO (512);CD5 (66);CD56 (147);CD62L (24);CD64 (52);CD66b (109);CD69 (52);CD73 (24);CD8 (366);CD83 (24);CD88 (24);Cd8a (28);CD90 (337);CD94 (57);CD95 (66);CSF1R (57);CSF2RA (24);CXCR1 (57);CXCR5 (66);FOXP3 (28);HLA-G (24);HLADR (151);hTIGIT (24);IgD (94);IgM (94);RANKL (28);SIGLEC-2 (66);TLR6 (48);TLR7 (33)	  85.00	Autoimmune	AR067676	52.1	White;Black or African American;Asian;Not Specified	62	2017-11-07	The primary goal for RA arthroplasty P1 studies are: To establish if molecular signatures and pathways identified using core AMP technologies differ between OA and RA in 20 RA surgical samples and 10 OA arthroplasty samples.	Synovial tissue;Monocyte;Fibroblast;Serum;B cell;T cell;Whole blood;PBMC		85.0	SDY998	Accelerating Medicines Partnership RA/SLE (AMP RA/SLE)	Jennifer Anolik: Rochester;Vivian Bykerk: HSS;Larry Moreland: Pittsburg;Michael Holers: Colorado;Mandy McGeachy: Pittsburg;Jennifer Seifert: Colorado;Andrew Filer: UK Birmingham;Costantino Pitzalis: UK London;Peter Gregersen: Northwell;Gary Firestein: UCSD;David Boyle: UCSD;Judith James: OMRF;Holden Maecker: Stanford;Michael Brenner: Brigham;Rohit Gupta: Stanford;Mina Pichavant: Stanford;PJ Utz: Stanford;Jennifer Chi: NIH;Soumya Raychaudhuri: Brigham;Harris Perlman: Northwestern;Arthur Mandelin: Northwestern;Michael Weisman: Cedars Sinai	Homo sapiens	DR24	osteoarthritis;rheumatoid arthritis	Y	Medical History (1791)	Years	Flow Cytometry;RNA sequencing;CyTOF;Microscopy	18.0	10.21430/M3KXJHSP4T
